NAME,EXPLANE,GENRE,PLAYTIME,DLEVEL,MINPEOPLE,MAXPEOPLE,PUBYEAR,AGE,YOUTUBE_LINK,NAMU_LINK,SHOP_LINK,GIMAGE
리코세로봇,머리가 깨질듯한 두뇌싸움! 총알처럼 튀는 로봇의 최단 경로를 찾아보자 날고 기는 브레인들은 다 모여라!,IQ,50,3,2,4,1999,10,https://www.youtube.com/watch?v=_rVldRqVyAo&pp=ygUj66as7L2U7IS466Gc67SHIOuztOuTnOqyjOyehCDshKTrqoU%3D&ab_channel=%EB%B3%B4%EB%93%9C%EB%9D%BC%EC%9D%B4%EB%B8%8CBoardLiveGame,,https://www.coupang.com/vp/products/221960862?itemId=694953247&vendorItemId=72105397291&q=%EB%A6%AC%EC%BD%94%EC%84%B8%EB%A1%9C%EB%B4%87&itemsCount=18&searchId=1c91d9b2b24249ef8c291c7ac358e49c&rank=1,리코세로봇.png
에니그마,세계대전 당시 독일 연합군은 각 분야의 수재들을 모아 암호 해독팀을 꾸리는데...  천재 수학자가 되어 함께 암호를 해독해 보자!,IQ,40,4,2,4,2012,8,https://www.youtube.com/watch?v=j--S6NCcVPM&ab_channel=%EC%BD%94%EB%A6%AC%EC%95%84%EB%B3%B4%EB%93%9C%EA%B2%8C%EC%9E%84%EC%A6%88,,https://www.coupang.com/np/search?component=&q=%EC%95%A0%EB%8B%88%EA%B7%B8%EB%A7%88&channel=user,에니그마.png
라스베가스(라스베이거스),환상의 라스베가스에서 본인의 운을 시험해보자! 전략과 운 둘 다 필요한 배팅게임! 가장 높은 금액을 얻을 승자는?,전략,30,2,3,5,2012,8,https://www.youtube.com/watch?v=v_4BSTod5ls,https://namu.wiki/w/%EB%9D%BC%EC%8A%A4%EB%B2%A0%EC%9D%B4%EA%B1%B0%EC%8A%A4(%EB%B3%B4%EB%93%9C%20%EA%B2%8C%EC%9E%84),https://www.coupang.com/np/search?component=&q=%EB%9D%BC%EC%8A%A4%EB%B2%A0%EA%B0%80%EC%8A%A4&channel=user,라스베가스.png
스플랜더,보드게임카페에서 한번쯤은 해보는 Hot한 게임! 보석으로 개발카드를 사고 귀족의 도움을 받아 더 많은 부를 축적해 이기는 게임 전략게임 처음 한다면 추천!!,전략,30,2,2,4,2014,10,https://www.youtube.com/watch?v=uHGyzjH9CkQ,https://namu.wiki/w/%EC%8A%A4%ED%94%8C%EB%A0%8C%EB%8D%94,https://www.coupang.com/vp/products/7309462?itemId=32262774&vendorItemId=3007143232&pickType=COU_PICK&q=%EC%8A%A4%ED%94%8C%EB%9E%9C%EB%8D%94&itemsCount=36&searchId=751bd5949c5d48b7b6f193bf51e9fa62&rank=0,스플렌더.png
뱅,숨막히는 서부의 총격전! 누가 부관이고 누가 무법자 일까? 신분을 숨긴 총잡이들 사이에서 보안관은 악당을 처치할수있을까요? 가장 유명한 마피아 보드게임!,전략,45,3,4,7,2002,10,https://www.youtube.com/watch?v=DcI7tsUoCnM&ab_channel=%EC%BD%94%EB%A6%AC%EC%95%84%EB%B3%B4%EB%93%9C%EA%B2%8C%EC%9E%84%EC%A6%88,https://namu.wiki/w/%EB%B1%85(%EB%B3%B4%EB%93%9C%20%EA%B2%8C%EC%9E%84),https://www.coupang.com/vp/products/1746995?itemId=65639577&vendorItemId=3000165036&pickType=COU_PICK&q=%EB%B1%85&itemsCount=36&searchId=8efe5927905142aa941edc2ba9d73f05&rank=0&isAddedCart=,뱅.png
부루마블,세계여행을 즐기는 인생 투자게임! 땅을 사고 투자를 잘해서 많은 돈을 모아보자!!,전략,60,2,2,4,1982,8,https://www.youtube.com/watch?v=ks1RCgOrTic&ab_channel=%EC%95%8C%EC%93%B8%EC%8B%A0%EC%84%A0%EB%B3%B4%EB%93%9C%EA%B2%8C%EC%9E%84TV,https://namu.wiki/w/%EB%B6%80%EB%A3%A8%EB%A7%88%EB%B6%88?from=%EB%B6%80%EB%A3%A8%EB%A7%88%EB%B8%94,https://www.coupang.com/vp/products/175546357?itemId=501963136&vendorItemId=79679823023&q=%EB%B6%80%EB%A3%A8%EB%A7%88%EB%B8%94&itemsCount=36&searchId=c0a7c7ec6d5a49879f22ab448b169607&rank=1&isAddedCart=,부루마불.png
더 게임,서로가 예민해지는 협력게임! 서로 말하지 못하고 눈치로만 협력해서 게임을 이겨보자 과연 우리의 팀워크는 어떨까?,전략,20,2,2,4,2015,8,https://www.youtube.com/watch?v=Rirro1j4Yjg&pp=ygUd642U6rKM7J6EIOuztOuTnOqyjOyehCDshKTrqoU%3D&ab_channel=%EB%B3%B4%EB%93%9C%EB%9D%BC%EC%9D%B4%EB%B8%8CBoardLiveGame,https://namu.wiki/w/%EB%8D%94%20%EA%B2%8C%EC%9E%84?rev=61,https://boardm.co.kr/front/product/product_detail.php?seq=13471&pinid=,더 게임.png
달무티,내가 왕이 될 상인가? 중세 유럽 배경의 왕 게임! 승패에 따라 나의 신분이 정해진다! 왕이 되기 위해 남들보다 빨리 카드를 모두 내자,전략,30,2,4,7,1995,8,https://www.youtube.com/watch?v=sO-vxnoL31A,https://namu.wiki/w/%EB%8B%AC%EB%AC%B4%ED%8B%B0,https://www.coupang.com/vp/products/6439875832?itemId=13935327783&vendorItemId=3148459906&pickType=COU_PICK&q=%EB%8B%AC%EB%AC%B4%ED%8B%B0&itemsCount=36&searchId=44d3b53161b24d3b8bdf4db4bc456526&rank=0&isAddedCart=,달무티.png
센추리:향신료의 길,향신료를 모아 점수를 내자! 남들 보다 빨리 향신료를 모으기위해 신중하게 카드를 모으자,전략,35,3,2,5,2017,8,https://www.youtube.com/watch?v=YGHlaYV-_Dk&ab_channel=%EC%95%8C%EC%93%B8%EC%8B%A0%EC%84%A0%EB%B3%B4%EB%93%9C%EA%B2%8C%EC%9E%84TV,https://namu.wiki/w/%EC%84%BC%EC%B6%94%EB%A6%AC(%EB%B3%B4%EB%93%9C%20%EA%B2%8C%EC%9E%84),https://www.coupang.com/vp/products/2118958543?itemId=3597474544&vendorItemId=71583198334&q=%EC%84%BC%EC%B6%94%EB%A6%AC1&itemsCount=36&searchId=9f1995c6159c489d8254d7fbd56dd511&rank=1,센추리 향신료의 길.png
센추리:동방의 바다,금보다 비싼 신비로운 동방의 열대 향신료를 확보해보자! 여러분은 개척이 목표인 선장이 되어 생강 칠리 차 정향을 구하러 떠나 볼까요!,전략,40,3,2,4,2018,8,https://www.youtube.com/watch?v=Dv7dp6Ir2D0&pp=ygUk7IS87LaU66asIOuPmeuwqSDrs7Trk5zqsozsnoQg7ISk66qF&ab_channel=%EC%A0%95%EC%9D%B4%EC%9D%98%EB%B3%B4%EB%93%9C%EA%B2%8C%EC%9E%84TV,https://namu.wiki/w/%EC%84%BC%EC%B6%94%EB%A6%AC(%EB%B3%B4%EB%93%9C%20%EA%B2%8C%EC%9E%84),https://www.coupang.com/vp/products/5221399260?itemId=7327072090&vendorItemId=74618287668&q=%EC%84%BC%EC%B6%94%EB%A6%AC2(%EB%8F%99%EB%B0%A9%EC%9D%98+%EB%B0%94%EB%8B%A4)&itemsCount=6&searchId=e673adf7b4674e4b915b3c4ba9bf8333&rank=1&isAddedCart=,센추리 동방의 바다.png
